subdivision,quarter,length,sex ,age
27,1,65,f,3
27,1,185,f,4
27,1,185,m,3
27,1,195,f,7
27,1,170,f,6
27,1,205,m,6
27,1,170,m,6
27,1,190,f,4
27,1,180,m,6
27,1,170,m,5
27,1,165,f,5
27,1,185,m,3
27,1,180,f,2
27,1,155,m,3
27,1,140,f,4
27,1,155,m,3
27,1,140,m,3
27,1,175,f,4
27,1,150,m,3
27,1,180,m,3
27,1,160,m,4
27,1,150,f,3
27,1,145,o,6
27,1,145,f,3
27,1,165,f,6
27,1,145,f,3
27,1,140,f,4
27,1,140,m,3
27,1,210,f,4
27,1,140,m,2
27,1,170,f,3
27,1,170,m,3
27,1,190,m,4
27,1,185,f,2
27,1,180,m,2
27,1,135,f,3
27,1,155,m,4
27,1,140,m,3
27,1,145,f,4
27,1,110,f,1
27,1,145,f,3
27,1,140,f,3
27,1,85,o,1
27,1,130,m,3
27,4,110,NA,0
27,4,130,NA,1
27,4,135,NA,1
27,4,135,NA,1
27,4,135,NA,1
27,4,140,NA,1
27,4,145,NA,1
27,4,145,NA,3
27,4,145,NA,1
27,4,150,NA,3
27,4,160,NA,1
27,4,160,NA,2
27,4,160,NA,1
27,4,160,NA,3
27,4,160,NA,3
27,4,160,NA,3
27,4,165,NA,2
27,4,165,NA,3
27,4,165,NA,3
27,4,165,NA,3
27,4,165,NA,3
27,4,170,NA,4
27,4,170,NA,3
27,4,170,NA,2
27,4,170,NA,2
27,4,170,NA,2
27,4,175,NA,4
27,4,175,NA,3
27,4,175,NA,3
27,4,175,NA,3
27,4,180,NA,2
27,4,180,NA,4
27,4,180,NA,3
27,4,180,NA,6
27,4,180,NA,2
27,4,190,NA,3
27,4,190,NA,4
27,4,190,NA,2
27,4,190,NA,2
27,4,190,NA,2
27,4,190,NA,3
27,4,195,NA,3
27,4,195,NA,4
27,4,195,NA,4
27,4,195,NA,5
27,4,195,NA,3
27,4,195,NA,4
27,4,195,NA,4
27,4,200,NA,4
27,4,200,NA,3
27,4,200,NA,4
27,4,200,NA,3
27,4,200,NA,4
27,4,205,NA,2
27,4,205,NA,2
27,4,205,NA,4
27,4,205,NA,2
27,4,205,NA,4
27,4,205,NA,4
27,4,210,NA,6
27,4,210,NA,2
27,4,210,NA,4
27,4,210,NA,5
27,4,210,NA,3
27,4,210,NA,4
27,4,210,NA,4
27,4,210,NA,4
27,4,210,NA,3
27,4,210,NA,5
27,4,215,NA,4
27,4,215,NA,3
27,4,215,NA,3
27,4,215,NA,5
27,4,215,NA,3
27,4,215,NA,2
27,4,245,NA,6
27,4,245,NA,7
27,4,245,NA,7
27,4,245,NA,6
27,4,245,NA,6
27,4,245,NA,6
27,4,245,NA,6
