year,1,2,3,4,5,6,7,8
1984,1005,2393,388,447,77,38,9,83
1985,566,1703,2521,447,271,30,19,65
1986,495,1142,1425,2099,340,188,16,50
1987,779,394,1320,1833,1805,227,149,73
1988,78,2696,730,1149,762,760,65,141
1989,2102,290,1772,404,739,390,398,137
1990,1049,3171,346,952,188,316,112,200
1991,1044,2649,2439,407,569,106,160,152
1992,1782,2939,3040,1643,444,311,121,163
1993,1832,5685,3244,1898,884,267,244,257
1994,1079,8169,8176,3525,2201,779,193,208
1995,6373,2341,6643,6636,3366,1902,627,409
1996,8389,27675,4704,6517,3323,1499,690,403
1997,1718,23182,23395,6343,4108,1651,683,279
1998,11018,3803,17688,19618,2659,1778,1468,489
1999,2082,19901,5832,9972,8836,1180,687,515
2000,10535,2948,14716,2870,4284,4077,707,761
2001,2776,11557,2670,9252,1999,2651,2264,523
2002,6648,5429,10781,3835,4308,998,880,1340
2003,9366,7109,4805,5067,2396,1903,833,1383
2004,23264,13094,5448,3086,3246,1334,1143,1364
2005,2843,30968,11254,2934,1868,843,659,615
2006,10851,3266,21097,6832,1380,614,405,530
2007,13796,11968,3706,13723,3855,623,301,539
2008,6391,15479,6684,2937,5719,2255,299,362
2009,21145,8891,10181,3905,1795,2837,1008,353
2010,4584,21493,5363,4234,1239,881,994,511
2011,8799,4361,12720,2749,1471,549,379,568
2012,5218,5712,2727,7041,1246,736,298,437
2013,6266,9569,4486,2391,3849,682,310,317
