year,1,2,3,4,5,6,7,8
1984,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1985,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1986,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1987,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1988,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1989,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1990,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1991,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1992,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1993,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1994,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1995,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1996,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1997,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1998,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
1999,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2000,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2001,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2002,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2003,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2004,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2005,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2006,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2007,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2008,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2009,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2010,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2011,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2012,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
2013,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4
