year,1,2,3,4,5,6,7,8
1984,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1985,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1986,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1987,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1988,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1989,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1990,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1991,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1992,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1993,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1994,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1995,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1996,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1997,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1998,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
1999,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2000,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2001,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2002,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2003,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2004,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2005,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2006,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2007,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2008,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2009,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2010,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2011,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2012,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
2013,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
