year,1,2,3,4,5,6,7,8
1984,0.17,0.93,1,1,1,1,1,1
1985,0.17,0.93,1,1,1,1,1,1
1986,0.17,0.93,1,1,1,1,1,1
1987,0.17,0.93,1,1,1,1,1,1
1988,0.17,0.93,1,1,1,1,1,1
1989,0.17,0.93,1,1,1,1,1,1
1990,0.17,0.93,1,1,1,1,1,1
1991,0.17,0.93,1,1,1,1,1,1
1992,0.17,0.93,1,1,1,1,1,1
1993,0.17,0.93,1,1,1,1,1,1
1994,0.17,0.93,1,1,1,1,1,1
1995,0.17,0.93,1,1,1,1,1,1
1996,0.17,0.93,1,1,1,1,1,1
1997,0.17,0.93,1,1,1,1,1,1
1998,0.17,0.93,1,1,1,1,1,1
1999,0.17,0.93,1,1,1,1,1,1
2000,0.17,0.93,1,1,1,1,1,1
2001,0.17,0.93,1,1,1,1,1,1
2002,0.17,0.93,1,1,1,1,1,1
2003,0.17,0.93,1,1,1,1,1,1
2004,0.17,0.93,1,1,1,1,1,1
2005,0.17,0.93,1,1,1,1,1,1
2006,0.17,0.93,1,1,1,1,1,1
2007,0.17,0.93,1,1,1,1,1,1
2008,0.17,0.93,1,1,1,1,1,1
2009,0.17,0.93,1,1,1,1,1,1
2010,0.17,0.93,1,1,1,1,1,1
2011,0.17,0.93,1,1,1,1,1,1
2012,0.17,0.93,1,1,1,1,1,1
2013,0.17,0.93,1,1,1,1,1,1
