year,1,2,3,4,5,6,7,8
1984,0.63,0.63,0.63,0.61,0.59,0.58,0.58,0.58
1985,0.54,0.54,0.53,0.52,0.51,0.5,0.5,0.5
1986,0.47,0.47,0.47,0.46,0.45,0.45,0.44,0.44
1987,0.43,0.43,0.43,0.42,0.41,0.4,0.4,0.4
1988,0.43,0.43,0.43,0.42,0.41,0.41,0.41,0.41
1989,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37
1990,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32
1991,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27
1992,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26
1993,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29
1994,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29
1995,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29
1996,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28
1997,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29
1998,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31
1999,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32
2000,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32
2001,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31
2002,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.33
2003,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28
2004,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28
2005,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29
2006,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31
2007,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32
2008,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34
2009,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.35
2010,0.42,0.42,0.42,0.41,0.4,0.4,0.4,0.4
2011,0.45,0.45,0.45,0.44,0.43,0.43,0.42,0.42
2012,0.45,0.45,0.45,0.44,0.43,0.43,0.42,0.42
2013,0.45,0.45,0.45,0.44,0.43,0.43,0.42,0.42
