year,1,2,3,4,5,6,7,8
1984,0.0097,0.0111,0.0146,0.0153,0.0158,0.0163,0.0169,0.0172
1985,0.0091,0.0113,0.0127,0.014,0.016,0.0171,0.0171,0.0158
1986,0.0079,0.0121,0.0129,0.014,0.0148,0.0161,0.017,0.0167
1987,0.0085,0.0117,0.0133,0.0145,0.0152,0.0164,0.017,0.0176
1988,0.0056,0.0103,0.0122,0.0142,0.0152,0.0153,0.0166,0.017
1989,0.0097,0.0136,0.0145,0.0158,0.0169,0.0173,0.0175,0.0181
1990,0.0104,0.0126,0.0149,0.016,0.0175,0.0177,0.0184,0.0181
1991,0.009,0.0129,0.0143,0.0158,0.0166,0.0175,0.0169,0.0169
1992,0.0087,0.0121,0.0147,0.0154,0.0173,0.0172,0.0181,0.0184
1993,0.0066,0.0111,0.0138,0.0146,0.015,0.0162,0.0166,0.0166
1994,0.008,0.0098,0.0121,0.014,0.0145,0.0152,0.0155,0.0159
1995,0.0065,0.0106,0.011,0.0126,0.0137,0.0141,0.0143,0.0145
1996,0.0043,0.0075,0.0103,0.0111,0.0124,0.0128,0.0127,0.0129
1997,0.0067,0.0074,0.0085,0.0101,0.0117,0.0124,0.0125,0.0127
1998,0.0046,0.0076,0.0083,0.0089,0.0104,0.0106,0.0108,0.0118
1999,0.004,0.0078,0.0092,0.0091,0.0092,0.0106,0.0112,0.011
2000,0.0062,0.0102,0.01,0.0108,0.0113,0.0117,0.0128,0.0134
2001,0.0063,0.0093,0.0114,0.0108,0.0116,0.0113,0.011,0.0118
2002,0.0069,0.0097,0.0102,0.0109,0.0111,0.0111,0.0115,0.0117
2003,0.005,0.0099,0.0108,0.0109,0.0114,0.0111,0.0107,0.0108
2004,0.0044,0.0076,0.0105,0.0112,0.0111,0.0114,0.0111,0.0113
2005,0.0047,0.0069,0.0081,0.0107,0.0112,0.0116,0.011,0.0113
2006,0.0049,0.0078,0.0082,0.0089,0.0108,0.0112,0.0111,0.0114
2007,0.0056,0.0077,0.0091,0.0092,0.0094,0.0109,0.0113,0.011
2008,0.0068,0.0092,0.0098,0.0105,0.0103,0.0102,0.0112,0.0122
2009,0.005,0.0092,0.01052,0.0109,0.0114,0.0108,0.011,0.012
2010,0.0052,0.008,0.0099,0.0107,0.011,0.0112,0.0108,0.0114
2011,0.004,0.0091,0.0096,0.0107,0.0114,0.0114,0.0114,0.0124
2012,0.0059,0.0094,0.0111,0.0112,0.012,0.0123,0.0123,0.0121
2013,0.0051,0.0096,0.0115,0.0125,0.0126,0.0129,0.013,0.0125
