haul.id,Year,Month,Day,HaulLat,HaulLong,Stratum,HaulDur,StatRec,Depth,SweepLngt,Netopening,Distance,Warplngt,WarpDia,DoorSurface,DoorWgt,DoorSpread,WingSpread,GroundSpeed,SpecCode,LngtClass,HLNoAtLngt
2013_1_53,2013,2,22,55.661,14.5218,-9,30,40G4,50,95,5.7,2759,310,-9,4.4,720,84,-9,3,161789,125,4
2013_1_53,2013,2,22,55.661,14.5218,-9,30,40G4,50,95,5.7,2759,310,-9,4.4,720,84,-9,3,161789,130,2
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,70,35.65
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,80,23.77
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,85,11.88
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,90,83.19
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,95,11.88
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,100,59.42
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,105,11.88
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,110,11.88
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,115,35.65
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,120,118.85
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,125,95.08
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,130,118.85
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,135,11.88
2012_1_1,2012,2,17,55.6888,14.4492,-9,30,40G4,47,95,4.6,2722,302,-9,4,590,81,-9,3,161789,145,11.88
2014_1_104,2014,2,13,55.6553,14.6573,-9,28,40G4,59,75,5,2574,354,-9,4.4,720,85,-9,3,161789,90,24.09
2014_1_104,2014,2,13,55.6553,14.6573,-9,28,40G4,59,75,5,2574,354,-9,4.4,720,85,-9,3,161789,95,12.05
2014_1_104,2014,2,13,55.6553,14.6573,-9,28,40G4,59,75,5,2574,354,-9,4.4,720,85,-9,3,161789,100,12.05
2014_1_104,2014,2,13,55.6553,14.6573,-9,28,40G4,59,75,5,2574,354,-9,4.4,720,85,-9,3,161789,125,36.14
2014_1_104,2014,2,13,55.6553,14.6573,-9,28,40G4,59,75,5,2574,354,-9,4.4,720,85,-9,3,161789,130,24.09
