"","haul.id","StatRec","HaulLat","HaulLong","num_fish","area_100_km2","abundance_km2"
"1","2003_1_154","40G5",55.8162,15.3953,320410.36,0.1,3203030.5848
"2","2003_1_152","40G5",55.8387,15.2892,194862.26,0.1084,1798020.4104
"3","2003_1_189","43G7",57.1018,17.2837,157181.03,0.1012,1553130.0286
"4","2003_1_188","43G7",57.4425,16.9982,128269.78,0.0934,1373294.0055
"5","2003_1_153","40G5",55.7703,15.3003,125713.64,0.1077,1167425.5812
"6","2003_1_156","40G5",55.9618,15.39,53355.02,0.1034,516080.8628
"7","2003_1_146","40G4",55.7115,14.7157,45601.77,0.0963,473760.0125
"8","2003_1_186","42G6",56.7037,16.9848,39898.47,0.0923,432264.7642
"9","2003_1_157","40G6",55.7183,16.2255,37562.02,0.1055,356006.8904
"10","2003_1_175","43G9",57.3687,19.1807,34547.07,0.1148,300890.0744
"11","2003_1_163","41G7",56.0968,17.6377,19759.39,0.098,201585.2887
"12","2003_1_155","40G5",55.8908,15.5668,10944.65,0.1007,108708.1002
"13","2003_1_151","40G5",55.691,15.1198,9132.23,0.1013,90114.7622
"14","2003_1_180","44G9",57.822,19.531,6238.34,0.1084,57561.2097
"15","2003_1_165","41G8",56.2443,18.4687,2531.42,0.1091,23200.8359
"16","2003_1_172","43G9",57.2178,19.0485,2097.25,0.1134,18493.5342
"17","2003_1_187","43G6",57.3805,16.8883,1378.21,0.0889,15503.6222
"18","2003_1_159","40G6",55.9298,16.9658,1196.38,0.0966,12382.2905
"19","2003_1_168","41G8",56.4338,18.672,1115.17,0.109,10235.1664
"20","2003_1_169","43G8",57.1722,18.8517,671.51,0.0994,6757.5373
"21","2003_1_147","40G4",55.671,14.493,638.55,0.1041,6131.0904
"22","2003_1_182","42G7",57.0153,17.9552,498.18,0.1056,4718.2056
"23","2003_1_178","45G9",58.0472,19.4487,446,0.1013,4401.0262
"24","2003_1_170","43G8",57.0758,18.8903,447.68,0.1023,4375.4429
"25","2003_1_162","41G7",56.1438,17.6963,396,0.1046,3785.688
"26","2003_1_167","41G8",56.4592,18.6758,392.85,0.1112,3531.728
"27","2003_1_173","43G9",57.2738,19.0945,338.27,0.1048,3228.3833
"28","2003_1_148","40G4",55.7013,14.5493,290.01,0.0971,2987.8071
"29","2003_1_149","40G4",55.7127,14.3593,57.96,0.0909,637.6062
"30","2003_1_171","43G8",57.1242,18.9707,28,0.1112,251.8422
"31","2003_1_160","40G7",55.9752,17.1417,18,0.0946,190.296
"32","2003_1_166","41G8",56.4578,18.6973,10.29,0.1076,95.6311
"33","2003_1_164","41G8",56.3715,18.4887,8,0.0999,80.0813
"34","2003_1_193","40G4",55.7133,14.4158,4,0.0909,44.0032
"35","2003_1_179","44G9",57.8838,19.422,2,0.0958,20.8774
"36","2003_1_174","43G9",57.3033,19.1348,0,0.1163,0
"37","2003_1_181","42G8",56.8805,18.8623,0,0.1084,0
